Date,Confirmed Cases,Deaths
10/1/2020,312,3
10/2/2020,325,3
10/3/2020,333,4
10/4/2020,339,4
10/5/2020,340,4
10/6/2020,341,4
10/7/2020,341,4
10/8/2020,359,4
10/9/2020,384,4
10/10/2020,413,4
10/11/2020,423,4
10/12/2020,435,4
10/13/2020,441,4
